Nom du rapport,Description,Dossier
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LyLa2AK/view?queryScope=userFolders,"Nombres de pistes totales par sources, hors VTiger et 2 LU",https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn642AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KPYQ2A4/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KPYp2AO/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KKc32AG/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb0000019u0nMAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000Ta4vMAC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lSb000000pNc5IAE/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000TZ2PMAW/view?queryScope=userFolders,rapport sur les leads partenaires avec les différents statuts et les états d'avancement.,https://codexa.lightning.force.com/lightning/r/sObject/00lSb000000pNc5IAE/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000001ByY9MAK/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pfWUAQ/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aserQAA/view?queryScope=userFolders
Sample Report: # of Accounts,How many accounts are being added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgAUAQ/view?queryScope=userFolders,How many cases have been added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgBUAQ/view?queryScope=userFolders,How many contacts do we have in Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pg7UAA/view?queryScope=userFolders,How many documents have been added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgDUAQ/view?queryScope=userFolders,How many leads have we added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgHUAQ/view?queryScope=userFolders,How many opportunities are being added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pg8UAA/view?queryScope=userFolders,How many custom reports have we added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgFUAQ/view?queryScope=userFolders,How many tasks and activies are being added to Salesforce?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pgEUAQ/view?queryScope=userFolders,Who are my active users?,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pg3UAA/view?queryScope=userFolders,Who has the most open cases?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pfuUAA/view?queryScope=userFolders,How much business have I closed so far?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
